Format Version,1.23,Take Name,Take 2024-07-17 09.12.15 AM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2024-07-17 09.12.15.319 AM,Total Frames in Take,11539,Total Exported Frames,11539,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,drone,drone,drone,drone,drone,drone,drone
,ID,"22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189","22A75B1D441211EF92AE9699928D7189"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
84,0.700000,-0.023006,0.999286,-0.004422,-0.029633,-1.424461,0.229419,-0.102285
85,0.708333,-0.023022,0.999286,-0.004412,-0.029622,-1.424456,0.229425,-0.102287
86,0.716667,-0.022951,0.999289,-0.004405,-0.029579,-1.424458,0.229437,-0.102272
87,0.725000,-0.022959,0.999289,-0.004446,-0.029563,-1.424445,0.229432,-0.102276
88,0.733333,-0.023021,0.999288,-0.004404,-0.029579,-1.424463,0.229437,-0.102290
89,0.741667,-0.022956,0.999289,-0.004430,-0.029573,-1.424437,0.229440,-0.102280
90,0.750000,-0.022960,0.999289,-0.004479,-0.029571,-1.424442,0.229406,-0.102270
91,0.758333,-0.022901,0.999291,-0.004455,-0.029566,-1.424440,0.229415,-0.102275
92,0.766667,,,,,,,
93,0.775000,,,,,,,
94,0.783333,-0.023004,0.999287,-0.004511,-0.029598,-1.424453,0.229417,-0.102261
95,0.791667,-0.023011,0.999286,-0.004481,-0.029615,-1.424456,0.229432,-0.102296
96,0.800000,-0.023067,0.999286,-0.004461,-0.029580,-1.424457,0.229427,-0.102283
97,0.808333,-0.023005,0.999289,-0.004470,-0.029550,-1.424448,0.229418,-0.102285
98,0.816667,-0.023016,0.999288,-0.004404,-0.029580,-1.424440,0.229421,-0.102292
99,0.825000,-0.022983,0.999289,-0.004439,-0.029558,-1.424444,0.229421,-0.102292
100,0.833333,-0.022954,0.999289,-0.004442,-0.029577,-1.424441,0.229427,-0.102297
101,0.841667,-0.022936,0.999290,-0.004404,-0.029569,-1.424446,0.229416,-0.102282
102,0.850000,-0.022945,0.999290,-0.004376,-0.029553,-1.424442,0.229429,-0.102276
103,0.858333,-0.022998,0.999289,-0.004478,-0.029524,-1.424446,0.229419,-0.102260
104,0.866667,,,,,,,
105,0.875000,-0.022963,0.999289,-0.004538,-0.029540,-1.424445,0.229402,-0.102270
106,0.883333,-0.022999,0.999287,-0.004512,-0.029602,-1.424451,0.229424,-0.102273
107,0.891667,-0.023047,0.999286,-0.004431,-0.029603,-1.424457,0.229421,-0.102273
108,0.900000,-0.023036,0.999287,-0.004425,-0.029590,-1.424450,0.229438,-0.102285
109,0.908333,-0.022940,0.999289,-0.004414,-0.029597,-1.424446,0.229441,-0.102284
110,0.916667,-0.023034,0.999288,-0.004405,-0.029571,-1.424443,0.229428,-0.102279
111,0.925000,-0.023003,0.999289,-0.004421,-0.029553,-1.424451,0.229427,-0.102276
112,0.933333,-0.022956,0.999290,-0.004407,-0.029562,-1.424439,0.229432,-0.102295
113,0.941667,-0.022957,0.999290,-0.004429,-0.029555,-1.424438,0.229425,-0.102297
114,0.950000,-0.022956,0.999290,-0.004435,-0.029550,-1.424439,0.229410,-0.102286
115,0.958333,-0.022955,0.999288,-0.004500,-0.029607,-1.424450,0.229416,-0.102272
116,0.966667,-0.022940,0.999289,-0.004500,-0.029569,-1.424438,0.229415,-0.102290
117,0.975000,-0.022981,0.999289,-0.004543,-0.029551,-1.424448,0.229412,-0.102269
118,0.983333,-0.023031,0.999286,-0.004745,-0.029558,-1.424468,0.229413,-0.102259
