sec,pos_x,pos_y,pos_z,x,y,z,w
1723550653.93101,-0.030416419729590416,0.004833003971725702,0.04305121302604675,-0.002536996421694284,-0.0021162260523337165,-0.0008226995372648916,0.9999942034314955
1723550654.031877,-0.029737940058112144,0.004475440364331007,0.0424540713429451,-0.0024842716226700407,-0.0020260223416482272,-0.0007595290532421347,0.9999945759626153
1723550654.132768,-0.023668577894568443,0.003317945869639516,0.042781680822372437,-0.002818376717514639,-0.0016809884364967784,-0.0004428493414010318,0.9999944791045375
1723550654.2335658,-0.03842395544052124,0.006536270026117563,0.04391095042228699,-0.00212057597688737,-0.003137863896724378,-0.0008237035586127242,0.9999924823359201
1723550654.3345022,-0.018137888982892036,0.00372109841555357,0.041345901787281036,-0.0023972816190045063,-0.0026893739731753442,-0.0008664716237083335,0.9999931379917266
1723550654.435419,-0.026400534436106682,0.0003446685732342303,0.03885931521654129,-0.0029233998793764715,-0.00218064256276477,-0.0017057786912696871,0.9999918862848137
1723550654.5362864,-0.030973244458436966,0.006924907676875591,0.05153271183371544,-0.0053343250274620795,-0.003856228294434867,-0.0013262008829348624,0.9999774542889591
1723550654.6371424,-0.025584792718291283,0.007683332543820143,0.05086681991815567,-0.009343419834709106,-0.005532617329074999,-0.003969886295574819,0.9999331511565005
1723550654.738062,-0.02895928919315338,-0.007924558594822884,0.03453753516077995,-0.006571224261076742,-0.009076150855665084,-0.010123518773653976,0.999885969813103
1723550654.8389122,-0.025784505531191826,-0.01802484132349491,-0.018346358090639114,-0.0019965882931215553,-0.014632760511036994,-0.020587957219604963,0.9996789700071758
1723550654.939835,-0.05683464556932449,-0.03210456669330597,-0.016942055895924568,0.00439254404334122,-0.015767978181026442,-0.03194222355608074,0.9993556599180029
1723550655.0406268,-0.09282530844211578,-0.01835263893008232,-0.020290357992053032,-8.641504891399498e-05,-0.02063836965287247,-0.04292293565998402,0.9988651914734373
1723550655.1415358,-0.08516043424606323,-0.028554104268550873,-0.056676216423511505,-0.0015474997222113566,-0.018974184085042763,-0.05408258802964444,0.9983549594341198
1723550655.343356,-0.09997591376304626,-0.024415520951151848,-0.09306339919567108,0.0013720858353913298,-0.016559380347842954,-0.0788379557994545,0.99674895186234
1723550655.4442198,-0.07469671219587326,-0.032452140003442764,-0.08978527039289474,0.0006401276172598869,-0.013509932065003043,-0.09207230693933748,0.9956604632295695
1723550655.5450737,-0.08790065348148346,-0.03765260428190231,-0.11623343825340271,-0.0005579441880250363,-0.01525602912636842,-0.10382222742431371,0.9944786741109585
1723550655.6459074,-0.08353142440319061,-0.050164446234703064,-0.12664377689361572,-0.00021457718680511164,-0.015424425965516369,-0.11337630071487488,0.9934323603931204
1723550655.9486396,-0.10315932333469391,-0.07977570593357086,-0.15328329801559448,0.0017550062184427393,-0.01749559539299909,-0.12518930758728367,0.9919770310414412
1723550656.0494704,-0.08911877125501633,-0.08962986618280411,-0.15885135531425476,0.00013426201445263083,-0.014620014280773523,-0.12463145811334901,0.9920953722857112
1723550656.1504254,-0.10704618692398071,-0.09186448156833649,-0.17361405491828918,-7.86747972927499e-07,-0.0175185233320644,-0.12389429128579738,0.9921407613483983
1723550656.251303,-0.12975306808948517,-0.08901768922805786,-0.19047263264656067,-0.0004491682770243659,-0.01795676344024528,-0.12349931081125166,0.9921820707998642
1723550656.3522027,-0.11424621194601059,-0.10273241996765137,-0.19911597669124603,0.0013474064197503623,-0.019010315909612423,-0.12242656559274268,0.9922945835869686
1723550656.4530296,-0.11896981298923492,-0.10613660514354706,-0.2183736264705658,-0.0010283119770848014,-0.019157693022020424,-0.12011634764738775,0.992574421088684
1723550656.5539317,-0.09710090607404709,-0.11763685941696167,-0.24143047630786896,0.0016003826714920477,-0.01895757802247239,-0.11756558500039263,0.9928828528683323
1723550656.654885,-0.07598476111888885,-0.12021993100643158,-0.2631661593914032,-0.0010569538598854044,-0.0189112896116902,-0.11464564439232829,0.9932258609235962
1723550656.7559347,-0.10386921465396881,-0.1229935735464096,-0.29785603284835815,-0.0016432486338408712,-0.018392602459225214,-0.11105972323867665,0.9936421536759629
1723550656.8565917,-0.1202671229839325,-0.1297624558210373,-0.3427455425262451,0.002986614057530412,-0.020523326036606514,-0.10755505826876834,0.9939828009196798
1723550656.9574828,-0.12687839567661285,-0.12491023540496826,-0.3699553906917572,0.0018931383209092928,-0.024435200928670412,-0.10423015238837138,0.994251185116962
1723550657.0583487,-0.11485125869512558,-0.1241120919585228,-0.4185156524181366,0.0010633087765449865,-0.023303732095059582,-0.10205979719953841,0.9945046858075405
1723550657.1593072,-0.09304379671812057,-0.1329258233308792,-0.4740392863750458,0.0024328517243898885,-0.0226376985078777,-0.1002848823074932,0.9946982163413173
1723550657.260193,-0.1146245151758194,-0.12768273055553436,-0.5081188678741455,0.0025925768091007574,-0.02265641440624702,-0.09885841515876811,0.9948401772153486
1723550657.3609948,-0.13284607231616974,-0.1240125373005867,-0.5451068878173828,0.00500109515551549,-0.021457542889956504,-0.09830694402508022,0.9949121984723412
1723550657.562767,-0.1317163109779358,-0.12799780070781708,-0.6193134784698486,0.0026118703510208193,-0.023698856909100122,-0.09966316736209226,0.9947355397686497
1723550657.6636295,-0.13070064783096313,-0.1236996054649353,-0.651228129863739,0.00039429867174047847,-0.02595113545424072,-0.10206217971711973,0.9944393855696733
1723550657.764561,-0.1214173436164856,-0.12465585023164749,-0.6855303645133972,0.0002738440893779936,-0.028750505531132356,-0.10365461225226064,0.9941976789429552
1723550657.8654695,-0.13936185836791992,-0.1252816915512085,-0.7016026973724365,0.0001289636231551814,-0.028430671543230705,-0.10391896601679135,0.9941793183176939
1723550657.966358,-0.12298789620399475,-0.1249125525355339,-0.7095146179199219,0.001606954537700103,-0.029238521063528637,-0.1047281788384884,0.9940696870867207
1723550658.0672576,-0.12354990094900131,-0.1203470379114151,-0.7167955636978149,0.0027113413500598,-0.02649671339430103,-0.10690980297270111,0.993911896719422
1723550658.1680999,-0.138997420668602,-0.11426416039466858,-0.7091965675354004,0.0011704829788938018,-0.025666576638822457,-0.10960492121161564,0.9936430909571882
1723550658.2689328,-0.12906508147716522,-0.11133984476327896,-0.7161871194839478,0.0018817697606272996,-0.02475676282682147,-0.11347299944909835,0.9932307893286048
1723550658.3698192,-0.12436246871948242,-0.10976976156234741,-0.7076113224029541,0.002181817708003753,-0.02334509612091048,-0.11667011961574185,0.9928939286922247
1723550658.470673,-0.11867973208427429,-0.1018420159816742,-0.7346007823944092,-0.003035208937197938,-0.020680625106611356,-0.11969389106460389,0.9925907997424019
1723550658.5715818,-0.10019687563180923,-0.09885874390602112,-0.7576718330383301,-0.026934468420560406,-0.012649508641964364,-0.1223664151511671,0.9920387982651941
1723550658.6725066,-0.12339308112859726,-0.09822331368923187,-0.7214629054069519,-0.03498163213546028,-0.00971006475711869,-0.12600146984945693,0.9913655277964147
1723550658.7733426,-0.11638110131025314,-0.11011046171188354,-0.7410642504692078,-0.033729733980740535,-0.014741029924208768,-0.1295229598664458,0.9908929549676961
1723550658.8741786,-0.1326950043439865,-0.1281009316444397,-0.7415500283241272,-0.03724221938548244,-0.013355235801870728,-0.1330396842678197,0.9903207097987702
1723550659.1768484,-0.1697991043329239,-0.22994612157344818,-0.771270751953125,-0.017232052182286833,-0.019755578092197832,-0.14355899768629504,0.9892944901531087
1723550659.2777314,-0.17408135533332825,-0.2752310037612915,-0.7810933589935303,-0.016200322697243794,-0.019752895858952707,-0.14678282334042628,0.9888388074930924
1723550659.378585,-0.16806110739707947,-0.3215002417564392,-0.7978267073631287,-0.01758136427965172,-0.018634390592050108,-0.1499418036752584,0.9883628329050027
1723550659.4794497,-0.18659143149852753,-0.3689504861831665,-0.8139885663986206,-0.01932336483461279,-0.018127744238612412,-0.15282488569006364,0.9878980474166811
1723550659.5804377,-0.20335492491722107,-0.42661774158477783,-0.8176963329315186,-0.018202533485947265,-0.018798480012423513,-0.15524362454025567,0.9875296120489249
1723550659.681259,-0.22982381284236908,-0.4852600395679474,-0.8256807327270508,-0.016235874294217786,-0.01864497728668421,-0.1561507228459082,0.9874237622637565
1723550659.7821658,-0.2586827874183655,-0.5480911135673523,-0.8333801031112671,-0.015884630991664574,-0.0182896078966867,-0.15559339417861007,0.9875241119724569
1723550659.8830292,-0.2729235887527466,-0.6039326190948486,-0.8214662671089172,-0.015961228399521746,-0.018884700095007135,-0.15373052785176597,0.9878033851002674
1723550659.9840667,-0.3074204623699188,-0.6675114035606384,-0.8125359416007996,-0.0156779259066977,-0.020407612960422445,-0.15057018339079303,0.9882643023458849
1723550660.084753,-0.3233744502067566,-0.7305893301963806,-0.8444026708602905,-0.008128749506153402,-0.023405000251739243,-0.14576046156876094,0.9890096113940383
1723550660.1856868,-0.3568750321865082,-0.7906314134597778,-0.8537726402282715,-0.005328803210204544,-0.026096892134475597,-0.1390975078490558,0.9899204064894869
1723550660.2865324,-0.38108861446380615,-0.8566595911979675,-0.8362298607826233,0.011042862386279337,-0.027186652482664896,-0.13085054448496766,0.9909677366866425
1723550660.3874717,-0.3855326771736145,-0.9173376560211182,-0.8629217147827148,0.03259874162552886,-0.030799650763394557,-0.12161134126944127,0.9915641117894357
1723550660.4883566,-0.39606115221977234,-0.9694804549217224,-0.8707712888717651,0.03883971418748213,-0.0331858551657292,-0.11101557904476442,0.9925047750141959
1723550660.5891762,-0.4139900803565979,-1.0118751525878906,-0.9057896137237549,0.03854612921373568,-0.03259383849024761,-0.10160380002192408,0.9935434117698155
1723550660.9927447,-0.47516748309135437,-1.0877563953399658,-0.9825062155723572,0.01760591729508175,-0.03185613560541989,-0.07536405517387873,0.9964915883555736
1723550661.0936985,-0.4515749216079712,-1.0982376337051392,-0.9974201321601868,0.009572898481113765,-0.027370080760777665,-0.07161198112702555,0.9970110166667039
